abstract,authors,n_citation,references,title,venue,year,id
"The experimental results in this paper demonstrate that a simple pruning/retraining method effectively improves the generalization performance of recurrent neural networks trained to recognize regular languages. The technique also permits the extraction of symbolic knowledge in the form of deterministic finite-state automata (DFA) which are more consistent with the rules to be learned. Weight decay has also been shown to improve a network's generalization performance. Simulations with two small DFA (/spl les/10 states) and a large finite-memory machine (64 states) demonstrate that the performance improvement due to pruning/retraining is generally superior to the improvement due to training with weight decay. In addition, there is no need to guess a 'good' decay rate. >","['Christian W. Omlin', 'C.L. Giles']",50,"['249ac73a-554f-4024-830b-4e961b3d9636', '29042545-4ddf-4bf9-ae8b-d65876c9eb41', '3fff50e3-6a11-415b-8c8d-6f2c651f658d', '56a4dd31-ea80-4c8b-946f-965e68c90639', '6372b6b3-4826-4338-b4c3-1cd5bd9fc8b7', '66e71d2a-01e3-4952-9c05-62675f2e8f6b', '681d6e09-1a19-413c-92ed-c70704d448cc', 'ccce4f1e-bf2a-415b-96e0-279ba9d87ba2']",Pruning recurrent neural networks for improved generalization performance,,1994,4ac7efb6-0cdb-4668-8868-317d9143e54c
"In this paper, we present a novel technique for the design of FIR and IIR digital filters. The design approach begins with the specification of a discrete set of arbitrary magnitude and phase characteristics which describe a desired filter response. These frequency domain characteristics are used to create an ideal ""pseudo-filter"" whose impulse response is unknown and possibly non-causal, but whose input/output characteristics can be determined for a finite sum of sinusoids. Time-domain techniques common to adaptive system identification are then used to identify a realizable FIR or IIR digital filter which best matches the pseudo-filter. The advantages of this method include the ability to specify response at arbitrarily-spaced frequencies, to use arbitrary cost weighting, and to apply (possibly non-linear) constraints to the range of the filter coefficients.","['Bernard Widrow', 'Paul F. Titchener', 'Richard P. Gooch']",12,"['01fb8373-7052-4d67-8747-2abc1110b514', '03b13797-fc14-4e1f-acdb-f080372264c2']",Adaptive design of digital filters,"international conference on acoustics, speech, and signal processing",1981,4ac7f580-e2ec-49a1-8ca5-98ece931126b
"This paper presents the result of the experimental examination by ""passing each other"" and ""positional prediction"" in simulated interactive situation between people and mobile robot. We have developed four prototype robots based on four proposed methods for preliminarily announcing and indicating to people the speed and direction of upcoming movement of mobile robot moving on two-dimensional plane. We observed significant difference between when there was a preliminary-announcement and indication (PAI) function and when there was not even in each experiment. Therefore the effect of preliminary-announcement and indication of upcoming operation was declared. In addition the feature and effective usage of each type of preliminary-announcement and indication method were clarified. That is, the method of announcing state of operation just after the present is effective when a person has to judge to which direction he should get on immediately due to the feature that simple information can be quickly transmitted. The method of indicating operations from the present to some future time continuously is effective when a person wants to avoid contact or collision surely and correctly owing to the feature that complicated information can be accurately transmitted. We would like to verify the result in various conditions such as the case that traffic lines are obliquely crossed.",['Takafumi Matsumaru'],1,"['02e226d3-d3d1-49f9-86f4-711a46d374a5', '21db47af-a207-4a76-98d3-93a9ab0b1c10', '49c43d4e-3d7a-47c2-9470-64dfd55979a6', '6425bf2a-0fa9-4694-9fea-048ce69ae892', '89a73cb9-04e9-4ac3-adcb-d8590f87d0ad', '904d5e2d-0f71-4cd6-ac28-1084652c1fae', '9746500d-d4c8-46c4-8337-7bba5f199afa', 'a37f12ce-11c1-4ba5-b509-95cec816f7c6']",Experimental Examination in simulated interactive situation between people and mobile robot with preliminary-announcement and indication function of upcoming operation,international conference on robotics and automation,2008,4ac80dc7-3b0b-4afa-afe4-fce6072ffc47
"In recent years, diversity techniques have evolved into highly attractive technology for wireless communications in different forms. For instance, the channel fluctuations of the users in a network are exploited as multiuser diversity by scheduling the user with the best signal-to-noise ratio (SNR). When fading is slow, beamforming at a multiple antenna transmitter is used to induce artificial channel fluctuations to ensure multiuser diversity in the network. Such a beamforming scheme is called opportunistic beamforming since the transmitter uses random beamforming to artificially induce opportunism in the network [1]. Opportunism requires a large number of users in the system in order to reach the performance of the true beamforming that uses perfect channel state information (CSI). In this paper we investigate the benefit of having partial CSI at an opportunistic transmitter. In the investigation, we focus on the maximum normalized SNR scheduling where user's feedback consists of SNR relative to its channel gain. We show that opportunism can be beneficially used to increase the average throughput of the system. Simulations support the analytical average throughput results obtained as the amount of CSI and the number of users vary.","['Ozgur Ozdemir', 'Murat Torlak']",6,"['23470605-f05f-40a3-81f0-5840e8225dab', '428771c4-4ff7-4564-8817-4bdc866f8ea9', '46351753-24cb-4ebd-a2eb-db6a46dcdca0', '57b89745-790c-4c68-b723-9c28f1babe07', '7bf3ba35-30e2-46e7-8327-f0bf8318a8b3', 'cb803f66-65de-4468-b903-1c68fd703131', 'dd3151e6-9756-4260-bc37-3507976fa578', 'e42e5794-980e-44b7-b4c9-15dbb812ad8c', 'e978280f-0a98-4085-a9b1-c51d9ee42388', 'f1f98a8e-776b-4598-ba23-6bfb37ed2636']",Opportunistic Beamforming over Rayleigh Channels with Partial Side Information,IEEE Transactions on Wireless Communications,2008,4ac81113-2e89-4dba-ad8e-303e7c13ebfb
"System-level low power scheduling techniques are required for optimizing the performance and power of embedded applications that are mapped to multiprocessor System-on-Chip (SoC) architectures. In this paper, we present an integer linear programming (ILP) formulation that combines loop transformations (pipelining and unrolling) and system-level low power optimization techniques (dynamic voltage scaling (DVS) and power management (DPM)) to minimize the power consumption, while satisfying the period and deadline constraints of the application. We also present three modifications that relax one or more constraints in the optimal formulation in order to obtain smaller run times. We present experimental analysis by applying the formulations on an MPEG decoder algorithm. All results are compared against two existing techniques. Our formulations result in large system-level power reductions (max: 48.2%, min: 15.92%, avg: 31.9%). The modified ILP formulations result in exponential decrease in runtimes, and a corresponding linear degradation in the result quality.","['Krishnan Srinivasan', 'Karam S. Chatha']",50,"['1ef4b4be-01a7-4430-88bc-e835a267a6a7', '2d118514-0989-419c-af0a-cba816264934', '52891fa1-80f9-4a20-8434-91a32a7ecf44', '7afe8c10-35f8-4acc-8c67-12e8239c4b48', '8fa1fdc9-854b-4ab9-96c7-1757d9df1a2d', 'ab002f95-7f6e-4f89-b38a-6c9c1983bd51', 'bf6e4a57-9025-455a-9d91-fccc37d0ac23', 'de834a9c-d038-4550-b093-e764affe2501', 'f063fadd-eb09-46a8-b0a9-66441784852b']",An ILP formulation for system level throughput and power optimization in multiprocessor SoC architectures,international conference on vlsi design,2004,4ac82906-287d-4567-ba9a-307e867e1cd2
"Although much research has been done in the area of content based image retrieval (CBIR), little progress has been made to fully implement an engine solely based on the search of image content. This paper examines one of the basic problems in pattern recognition which highlights the difficulty in the area of content understanding in CBIR, i.e. the inability of current systems to fully incorporate low level features of image, such as intensity, colour, texture, shape and spatial constraints characteristics, with the high level features such as semantic content. To further the development of content based image processing, semantic algorithms should be combined with low level features and be used to process the image objects.","['Ziqiang Feng', 'David Tien']",50,"['cfa17717-1dfe-4ab1-baf7-3802d3842d2e', 'dfc57a5f-6bce-4642-85e7-569b9e5f6ac3']",Enhancement of semantics in CBIR,,2005,4ac85a04-71b6-4e71-b62a-369a5898ffcf
"Grass seeds are complex organs composed by multiple tissues and cell types which develop coordinately to produce a viable embryo. The identification of genes involved in seed development is of great interest, but systematic spatial analyses of gene expression on maize seeds at the cell level have not yet been performed. MASISH is an online database holding information for gene expression spatial patterns in maize seeds based on in situ hybridization experiments. The web-based query interface allows the execution of gene queries and provides hybridization images, published references and information of the analyzed genes. Availability: http://masish.uab.cat/ Contact: cvsgmp@cid.csic.es The maize kernel is classified botanically as a caryopsis. In consequence it is a fruit composed by one seed and the remnants of the seed coats and nucellus and is permanently enclosed in the pericarp. The endosperm occupies most of the seed and is basically a storage organ that accumulates starch and proteins. The aleurone layer is part of the endosperm and consists in a continuous layer of large cubical cells which accumulate protein and lipid granules and surrounds most of the endosperm. In the area of the pedicel, which connects the seed to the mother plant, the cells adopt a special morphology, typical of transfer cells, and form the basal transfer cell layer. The embryo consists of an embryonic axis and a single cotyledon, which is called the scutellum. The embryo axis is formed by the plumule, covered by the coleoptile and the radicle, covered by coleorhiza. All these organs are almost completely surrounded by the scutellum, an organ whose major function is to accumulate nutrient reserves, mainly lipids and proteins. A single layer of cells directly in contact with the endosperm, which is called the scutellar epithelium, is important in the digestion and transport of the nutrients from the endosperm to the embryo axis during germination. Both endosperm and embryo derive from the fusion of gametes, but while the embryo is derived from the fertilized egg, triploid endosperm is derived from fertilized polar nuclei. Surrounding the endosperm and embryo lays the pericarp, a protective organ derived from maternal tissues (more information at http://masish.uab.cat/masish/images/maizeseedanatomy.pdf). Full genome sequencing allows the identification of the complete catalog of genes in a species. However, the roles of a high proportion of these genes remain unknown. The description of","['Miquel Miquel', 'Ignacio López-Ribera', 'Miquel Ràmia', 'Sònia Casillas', 'Antonio Barbadilla', 'C. M. Vicient']",50,"['6a8a11cc-8e87-4b5e-9a18-8916a732d731', '99e165bf-a305-4c20-b046-9f8c211ce037', '9a7ee490-1519-43a2-b5b2-2e52eac82f61', 'cebb7574-0eea-47fd-8f0c-bc0ae10ec3ab', 'f1a9969e-550b-4ef2-bf86-bbdcdd9ae8df']",MASISH: a database for gene expression in maize seeds,Bioinformatics,2011,4ac85ced-0a84-459a-8e5d-29c13e6b19ac
"This paper presents, for the first time, a unified blind method for multi-image super-resolution (MISR or SR), single-image blur deconvolution (SIBD), and multi-image blur deconvolution (MIBD) of low-resolution (LR) images degraded by linear space-invariant (LSI) blur, aliasing, and additive white Gaussian noise (AWGN). The proposed approach is based on alternating minimization (AM) of a new cost function with respect to the unknown high-resolution (HR) image and blurs. The regularization term for the HR image is based upon the Huber-Markov random field (HMRF) model, which is a type of variational integral that exploits the piecewise smooth nature of the HR image. The blur estimation process is supported by an edge-emphasizing smoothing operation, which improves the quality of blur estimates by enhancing strong soft edges toward step edges, while filtering out weak structures. The parameters are updated gradually so that the number of salient edges used for blur estimation increases at each iteration. For better performance, the blur estimation is done in the filter domain rather than the pixel domain, i.e., using the gradients of the LR and HR images. The regularization term for the blur is Gaussian (L2 norm), which allows for fast noniterative optimization in the frequency domain. We accelerate the processing time of SR reconstruction by separating the upsampling and registration processes from the optimization procedure. Simulation results on both synthetic and real-life images (from a novel computational imager) confirm the robustness and effectiveness of the proposed method.","['Esmaeil Faramarzi', 'Dinesh Rajan', 'Marc P. Christensen']",54,"['04f41144-1c5f-4d60-af27-63eec3cec31f', '09d54393-02db-4a49-b6bc-e1c8ff5f2755', '0c32535a-72bb-4fda-b12b-627147f8b358', '0cc29143-4401-4458-86df-8fda9c8bc7a7', '12e152cd-298f-407f-9fc3-c5dd779a3673', '19aec7dc-acdf-4056-817b-9c33b5905a9c', '1bc88bf1-8d70-44cd-a588-b9fb3c3a2c5a', '25e7b0e3-6fc6-4d56-8766-d071ebdd26cf', '275d9701-710b-4676-9385-492e24fecc3d', '296e5b06-312d-406b-b77f-fa9b5c34da03', '2ce9a4a0-c9fb-4c07-af07-93955c6a3a93', '2e3a62bf-9836-4aea-a80f-10ed9044eedf', '34d4e37b-e575-4316-847b-d8a661b51473', '358d39d7-4949-412b-9b20-4f6ed68ea737', '37f720ee-5100-405c-aa7b-9f3a58d76e0d', '4a568e0b-443d-4715-a271-a8201fa47454', '60c77100-ef24-44a7-a90b-ebdaa7c9384a', '61bacc6e-c018-4e10-8f57-91b4a40ce7a0', '66537e33-e121-4785-9c76-76930e78933c', '73bd9af7-3a29-42b5-a0b0-63fe8909954d', '7512c715-44d9-4d51-915f-ddf4253b8b94', '7bf3ce7f-cfb8-40ba-82af-122576d8ccff', '8450b8cf-bef8-4ce2-962f-ab7d4a2c3657', '8dd82d0b-d58f-44a1-b2d6-3a4f7167332c', '8fed4c6c-a6a8-472e-80c7-264c4a4e5313', '97f0f9fd-f507-4a3c-944f-e282045f9eba', 'b0c2ca0e-2661-4434-8653-592165bebd37', 'befe9346-95f6-49a0-8607-a6c7b6bef55f', 'caeaaba1-3f0e-41b3-ad24-26a488a26075', 'eae3c904-2653-4a67-ab0d-d3ec20277a4d', 'efa407cf-e88f-4de5-9d4a-c66b0802d5ea', 'f0176e5b-d3a7-4214-b4e2-cf22720f6df4', 'fb7f0d47-99cb-454a-b372-1d9820b83460', 'fdb37059-2b78-4e6d-81e7-ae788014db5e']",Unified Blind Method for Multi-Image Super-Resolution and Single/Multi-Image Blur Deconvolution,IEEE Transactions on Image Processing,2013,4ac8622a-4f7f-42b7-9d35-fa6383b2a29f
"Recent research in generalizing quantum computation from 2-valued qudits to d-valued qudits has shown practical advantages for scaling up a quantum computer. A further generalization leads to quantum computing with hybrid qudits where two or more qudits have different finite dimensions. Advantages of hybrid and d-valued gates (circuits) and their physical realizations have been studied in detail by Muthukrishnan and Stroud [Multi-valued logic gates for quantum computation, Phys. Rev. A 62 (2000) 052309. [10]], Daboul et al. [Quantum gates on hybrid qudits, J. Phys. A Math. Gen. 36 (2003) 2525-2536. [5]], and Bartlett et al. [Quantum encodings in spin systems and harmonic oscillators, Phys. Rev. A 65 (2002) 052316. [17]]. In both cases, a quantum computation is performed when a unitary evolution operator, acting as a quantum logic gate, transforms the state of qudits in a quantum system. Unitary operators can be represented by square unitary matrices. If the system consists of a single qudit, then Tilma et al. [Generalized Euler angle parameterization for SU(N), J. Phys. A Math. Gen. 35 (2002) 10467-10501. [15]] have shown that the unitary evolution matrix (gate) can be synthesized in terms of its Euler angle parametrization. However, if the quantum system consists of multiple qudits, then a gate may be synthesized by matrix decomposition techniques such as QR factorization and the cosine-sine decomposition (CSD). In this article, we present a CSD based synthesis method for n qudit hybrid quantum gates, and as a consequence, derive a CSD based synthesis method for n qudit gates where all the qudits have the same dimension.","['Faisal Shah Khan', 'Marek A. Perkowski']",33,['1e0a1184-596f-4259-869d-9cf349a43834'],Synthesis of multi-qudit hybrid and d-valued quantum logic circuits by decomposition,Theoretical Computer Science,2006,4ac86ce9-af4e-4f3e-94e0-285698871004
Abstract   Let  A ( H ) be the arrangement of a set H of n hyperplanes in  d -space. A  k -flat is a  k -dimensional affine subspace of  d -space. The  zone  of a  k -flat f with respect to H is the set of all faces in  A ( H ) that intersect f. this paper we study some problems on zones of  k -flats. Our most important result is a data structure for point location in the zone of a  k -flat. This structure uses   O  (n      ⌊  d  2  ⌋+e    +n     k+e   )   preprocessing time and space and has a query time of O(log 2   n ). We also show how to test efficiently whether two flats are visible from each other with respect to a set of hyperplanes. Then point location in m faces in arrangements is studied. Our data structure for this problem has size   O  (n      ⌊  d  2  ⌋+e    m      ⌈  d  2  ⌉  d    )   and the query time is O(log 2   n ).,"['Mark de Berg', 'Marc J. van Kreveld', 'Otfried Schwarzkopf', 'Jack Snoeyink']",5,"['03e6b6dc-7077-49f3-8f6f-558f13e498a6', '04b85a51-0611-4690-be84-9ac7bb80ddd4', '1bb7e651-6703-413c-b8d1-10f8e8867205', '251815a3-8350-4b1c-993d-20bcd8ce4788', '28cab176-2ea5-45f1-aea8-666a8acc2861', '354511c3-2734-4838-bdd7-8be81794e2fc', '394fcdc7-5d9b-4180-9c32-1be37a0c7061', '3f1323cb-140d-40d6-8635-92d5b9107de9', '513ef136-d6cf-4d7b-bd8c-68328c18aa91', '5493aef1-42ec-42e6-8f5e-4239a8feb947', '6e7e2636-69d7-405c-aebc-b38b8d4d719d', '71e7d436-a839-4f9d-ad70-d9faf15e8034', 'ad396711-0881-424d-b3de-409ac46c2061', 'b7694933-0515-4214-8f61-27f1df56a531', 'bda45c60-bb84-42d0-b227-da383ddd68bb', 'be9cbf3c-2975-4226-b6b9-3d4b4ebe8a66', 'c9f1dced-d81b-4903-b134-c197cb05b999', 'd0b4e3e2-e311-4441-9f90-37d6ff42a193', 'e1e3bb01-cb12-42e2-919a-0b844ef75038']",Point location in zones of k -flats in arrangements,Computational Geometry: Theory and Applications,1996,4ac87154-be08-4020-8544-a71f3aeccada
"The goal of this paper is to address the problem of dynamic optimal battery array management to extend the life of battery array used in the hybrid power source. Unlike previous efforts which mainly solve the problem using the off-line optimization, our design addresses the problem using the idea of “feedback”. The proposed approach can handle the possible dynamic uncertainty of the hybrid power source introduced by battery failure or insert of a new battery. The detailed battery model and the converter model are derived to facilitate development of dynamic optimal management algorithm. The other goal of this paper is to call possible attention of the control community in potential contribution for newest smart grid technology.","['Yun She', 'Xu She']",50,['29b46504-ae8a-4dbc-954d-90cd09990d59'],Dynamic optimal battery array management in high energy density fuel cell/battery hybrid power source,conference on decision and control,2010,4ac87997-0f77-492f-8f7b-0307fc2d8fa5
"Methods for hidden structure of high-dimensional binary data discovery are one of the most important challenges facing machine learning community researchers. There are many approaches in literature that try to solve this hitherto rather ill-defined task. In the present study, we propose a most general generative model of binary data for Boolean factor analysis and introduce new Expectation-Maximization Boolean Factor Analysis algorithm which maximizes likelihood of Boolean Factor Analysis solution. Using the so-called bars problem benchmark, we compare efficiencies of Expectation-Maximization Boolean Factor Analysis algorithm with Dendritic Inhibition neural network. Then we discuss advantages and disadvantages of both approaches as regards results quality and methods efficiency.","['A. A. Frolov', 'Dušan Húsek', 'Pavel Polyakov']",50,"['4d2eade0-7917-485d-842d-ed0c336e4e4d', '7997edec-64b6-477a-bd7d-f9f8c0285719', '94386462-c6b6-48b2-be94-4b1d011edf79', 'a59bef55-6aad-4457-97ea-73f6ab340c94', 'c9acc7c1-8fb4-4af2-8f11-9c6a468de5f7', 'dad476f7-1a75-446a-968a-2ec661279c41']",Expectation-maximization approach to Boolean factor analysis,international symposium on neural networks,2011,4ac879d6-925a-431c-83f5-4ad125cd024a
"In this paper, a new bridgeless single-ended primary inductance converter power-factor-correction rectifier is introduced. The proposed circuit provides lower conduction losses with reduced components simultaneously. In conventional PFC converters (continuous-conduction-mode boost converter), a voltage loop and a current loop are required for PFC. In the proposed converter, the control circuit is simplified, and no current loop is required while the converter operates in discontinuous conduction mode. Theoretical analysis and simulation results are provided to explain circuit operation. A prototype of the proposed converter is realized, and the results are presented. The measured efficiency shows 1% improvement in comparison to conventional SEPIC rectifier.","['Mohammad Mahdavi', 'Hosein Farzanehfard']",163,"['25afb61e-5c3c-4733-9995-c95f3f028276', 'bf33c0a9-9cb3-4577-b7a5-1131a3f9a36f', 'c58b5ab8-d471-4bb2-bc47-b8d4d8de0a28', 'ce13960f-fd9d-4eeb-812b-50a7ef8acc8e']",Bridgeless SEPIC PFC Rectifier With Reduced Components and Conduction Losses,IEEE Transactions on Industrial Electronics,2011,4ac8830f-3b94-4141-87ad-da094724bdc0
"Quantization plays an important role in many systems where analog-to-digital conversion and/or digital-to-analog conversion take place. If the quantization error is correlated with the input signal, then the spectrum of the quantization error will contain spurious peaks. Although analytical formulas describing this effect exist, numerical evaluation can take much effort. This brief provides approximations for the spurious-free dynamic range (SFDR) of a uniform quantizer with a single sinusoidal input, with and without additive Gaussian noise. It is shown that the SFDR increases by approximately 8 dB/bit, in case there is no noise. Generalizing this result to multitone inputs results in an additional 2 dB/bit per additional tone. Additive Gaussian noise decorrelates the sinusoid(s) and the quantization error, which results in a dramatic increase in SFDR.","['M.S. Oude Alink', 'Andre B. J. Kokkeler', 'E.A.M. Klumperink', 'Kenneth C. Rovers', 'G.J.M. Smit', 'Bram Nauta']",27,"['b43813a8-c0f8-4fd0-b53d-db0807dded83', 'c2c93db1-6280-40ac-a22b-1c5ebafdd8f0', 'dfb70567-9799-4450-9f6f-0af6257255de']",Spurious-Free Dynamic Range of a Uniform Quantizer,IEEE Transactions on Circuits and Systems Ii-express Briefs,2009,4ac8ab67-f15d-4045-81bb-d8c4f1cd99e3
"The paper revisits three distributed shared memory (DSM) architectures to clarify them with their binding times for new addresses at the local memory: page fault time, node miss time, and cache miss time. The DSM architectures which have different binding times arrange data in different ways with different overheads at an event of reference. Since a large number of cache misses can occur in a large (relative to the cache size) working set, binding at the page fault time alone cannot efficiently utilize locality of reference at the local memory. In a small working set, most of the addresses bound to the local memory at a node miss time are not effective due to the low cache miss rate. The paper shows that binding at the cache miss time can improve system performance.","['Jinseok Kong', 'Gyungho Lee']",0,"['11b345d6-7ed7-4201-a2f8-67830fcce121', '4b03f689-3acd-475c-b058-e519f8c152ce', '5383bfb3-5735-4246-a0e0-fee380c560c3', '58778a43-510b-4821-b5cd-1c2c430db2e1', '5a62e012-673d-4ff9-bcee-b4e61bd204db', '5c229bca-80b1-442e-9f9a-9e7a18f09afd', '6ea7d36f-b372-4a20-b5a7-effbacd93a5d', '8ebe8f93-e7bf-4b97-8301-aad5ff53d045', '99d86b25-2586-4184-8035-0d3e32441577', 'a109db76-956d-41ec-b487-0080b96bfd9a', 'a4f95e3a-17b0-46ed-a588-341d2bc53a33', 'be70b988-e915-4ca6-8102-7edf89b3b035', 'c0f8eb95-a6bd-4dbe-8edf-244dcf9ad7f5', 'd8759d40-7707-443a-a7fa-039a5113a961', 'e6ffd871-5c54-446c-8ee1-f8b3d4e91d10', 'ede3a3ef-49b5-4c4b-8a13-65974345271a', 'ee04883b-0f7b-4610-b89b-282c8a0f989a']",Binding time in distributed shared memory architectures,international conference on parallel processing,1998,4ac8c050-c706-404b-924b-5bd204736191
"While software evolution has been studied extensively in software engineering, few of these efforts have involved a systematic exploration of human epistemological attitudes, such as human desire and intention, as the driving force of software service evolution. Our work proposes a theoretical framework to monitor and reason about human intention and its changes, which in turn can be used to determine how software and services should evolve to be individualized and better serve each user. Extending the Situ framework, we explore the service satisfiability problem through sub-world coverage following Kripke semantics, which enjoys wide application in AI and other fields related to human epistemic reasoning.","['Hua Ming', 'Carl K. Chang', 'Katsunori Oyama', 'Hen-I Yang']",50,"['06e64e99-3717-4646-89e7-941a787fba79', '1a04af20-bcde-4035-8675-753ddd7e81b3', '1f6725fc-cc01-4ea8-9862-f4498b2ec6c2', '21505316-72db-4553-b1e9-d8b93aa584f4', '58ed83dc-606a-4545-bf58-a77dad0a8710', '611266bd-7a1a-408c-baba-8d252637f8b5', '6774cf1d-d65b-4303-9d9c-a6d2d76cfca8', '7e80dfdc-aecd-4eb1-bb00-172edc6aebfa', '8dc3fccd-b00a-4b53-9e82-dd95515aa478', 'b0c322b5-4c82-4446-a3d8-01b0fc067b45', 'c74d12a1-0677-4889-91a4-3e11646a18e0', 'cb0f1186-5ef9-4504-b72b-75d1161341c2']",Reasoning about Human Intention Change for Individualized Runtime Software Service Evolution,computer software and applications conference,2010,4ac8c40f-6757-415b-a775-7de7dfed4407
"The Internet is playing a progressively more important part in our day–to–day life, through its power of making information universally available. People with disabilities have particular opportunities to benefit. Using the Internet in conjunction with dedicated assistive technologies, tasks that were very difficult if not impossible to achieve for people with various types of disability can now be made fully accessible — at least, in principle. However, in practice, many online resources and services are still poorly accessible to those with disability due to unsatisfactory Web content design.#N##N#Design of accessible Web content is codified in standards and guidelines of the World Wide Web Consortium (W3C). Conformance with W3C’s Web Content Accessibility Guidelines 1.0 (WCAG) (and/or similar, derivative guidelines) is now the subject of considerable activity, both legal and technical, in many different jurisdictions.#N##N#This paper presents results of a comparative survey of Web accessibility guidelines and HTML standards conformance for samples of Web sites drawn from Ireland, the United Kingdom, France and Germany. It also gives some recommendations on how to improve the accessibility level of Web content.#N##N#A particular conclusion of the study is that the general level of Web accessibility guidelines and HTML standards conformance in all of the samples studied is very poor; and that the pattern of failure is strikingly consistent in the four samples. Although considerable efforts are being made to promote Web accessibility for users with disabilities, this is certainly not yet manifesting itself in improving Web accessibility and HTML validity.","['Carmen Marincu', 'Barry McMullin']",38,['e0cc581f-9090-46f0-986f-2376fc0d74e1'],A comparative assessment of Web accessibility and technical standards conformance in four EU states,First Monday,2004,4ac8c4f1-f396-4681-8963-dc9f6bffc4c4
In this paper we deduce the evolution of a four wheeled active suspension rover from a five wheeled passive suspension rover. The aim of this paper is to design a suspension mechanism which utilizes the advantages of both passive suspension and active suspension rover. Both the design considered here are simpler than the existing suspension mechanisms in the sense that the number of links as wells as the number of joints have been significantly reduced without compromising the climbing capability of the rover. We first analyze the kinematics of the five wheeled rover and its motion pattern while climbing an obstacle and try to deduce the same motion pattern and capability in the four wheeled rover. Both the suspension mechanism consists of two planar closed kinematic chains on each side of the rover. We also deduce the control strategy for the active suspension rover wherein only two actuators are used to control the internal configuration of the rover. To the best of author's knowledge this is the minimum number of actuators required to control the internal configuration of a active suspension while operating on a fully 3D rough terrain. Extensive uneven terrain simulations are performed for both 5-wheeled and 4-wheeled rover and a comparative analysis has been done on maximum coefficient of friction and torque requirements.,"['Arun Kumar Singh', 'Vijay Eathakota', 'K. Madhava Krishna', 'Arun. H. Patil']",6,"['14f9ce81-51d3-4685-af48-4a73bfdb275c', 'a943167e-5284-4c49-888c-2ee30f95ca4c']",Evolution of a four wheeled active suspension rover with minimal actuation for rough terrain mobility,robotics and biomimetics,2009,4ac8d71b-cac0-4fc9-bb5f-8ba3b89da465
"In this paper, the problem of discovering anomalies in a large-scale network based on the data fusion of heterogeneous monitors is considered. We present a classification of anomaly detection algorithms based on data fusion, and motivated by this classification, the operational principles and characteristics of two different representative approaches, one based on the Demster-Shafer theory of evidence and one based on principal component analysis, are described. The detection effectiveness of these strategies are evaluated and compared under different attack scenarios, based on both real data and simulations. Our study and corresponding numerical results revealed that in principle the conditions under which they operate efficiently are complementary, and therefore could be used effectively in an integrated way to detect a wider range of attacks..","['Vasilis Chatzigiannakis', 'Georgios Androulidakis', 'K. Pelechrinis', 'Symeon Papavassiliou', 'Vasilis Maglaris']",45,"['0432df92-d9f2-4771-a6cc-30575843a01f', '19c93deb-3da8-45d0-acb8-329c3671db20', '98b567e2-5b46-47a1-9f66-bce383b1080f', 'b499771a-79ef-4096-a61d-522fc4b071a4', 'c936b8e5-e85f-4627-b3ce-e9631c7e1874', 'e4fdcfab-e88f-4f35-b94f-e80edf71fa80']",Data fusion algorithms for network anomaly detection: classification and evaluation,international conference on networking and services,2007,4ac8e77b-cb4d-4ba9-a924-76f668dc39e8
"The BGP routing system is one of the key component of today's Internet infrastructure responsible for carrying data traffic across different Autonomous Systems (ASes). Recently, malformed BGP messages have become a threat to the operational community as they repeatedly cause BGP session resets until identified. However, the identification of the message itself is often difficult in large ISP networks. In this paper, we propose a novel method for real-time identification of these messages by using passively collects BGP messages. Our method focuses on the frequency of observed attributes and values of prefixes advertised by each AS. Based on our heuristics that common attributes are observed at similar time scale, we periodically measure the usage frequency of attributes from BGP messages observed in real-time and mark attributes and values used by minority of the AS as suspicious. We verify the efficiency of our method using BGP data obtained from operational networks.","['Masafumi Watari', 'Peng Jiang', 'Atsuo Tachibana', 'Shigehiro Ano']",0,"['3a354cff-1845-49a0-91b0-a86a1d0f416e', '8461ef09-703a-4240-98f5-925aa6513671', '892094f6-190a-47a1-8b2d-7bad51fe3afb', 'afdf154d-5391-4e65-aeb0-cf0ad378ebd5', 'ff895473-f970-4de0-9aea-67745aea2188']",A Method for Real-Time Identification of Malformed BGP Messages,symposium on applications and the internet,2011,4ac8e7e6-bde6-4184-865d-ed1fb37d65d2
